ID,News_Title,News_Text,Label
1,Pakistan Agrees To A Transparent Probe Into Poll Rigging Allegations,The Pakistani government and opposition have agreed to form a parliamentary committee to investigate allegations of election rigging,Real
2,Aamir Liaquat not allowed to meet with PM Imran Khan,Security authorities refused Aamir Liaquat Hussain entry to the guest house grounds where he had come to visit the prime minister Imran khan,Real
3,Pakistan exPM Nawaz Sharif given 10year jail term,Judge Mohammad Bashir ordered Sharif to serve 10 years for owning assets beyond income and one year for not cooperating with the NAB The sentences are to be served concurrently,Real
4,Prime Minister Imran Khan visits PIMS Hospital without protocol,Imran Khan enquired about the administrations provision of medicines to patients and urged the administration to continue providing patients with standard healthcare services,Real
5,ExPM Nawaz Sharif and daughter arrested on return to Pakistan,The Sharifs landed in Pakistan second city on Friday evening from the United Kingdom presenting themselves for arrest after being convicted by an anticorruption court last week,Real
6,Former Pak President Asif Ali Zardari To Be Banned From Travelling Abroad,The JIT constituted by the apex court on September 5 probe focused on 32 fake accounts which were allegedly used to give massive financial benefits to Zardari Talpur and several others,Real
7,MIFTAH ISMAIL CRITICISES ATTEMPTS BY PTI TO OPPOSE VOTE RECOUNT,To prevent any issue Imran Khan consented to open all districts but his counsel Babar Awan was fighting the vote recount during the court hearing exposing their hypocrisy,Real
8,IHC disqualifies Khawaja Asif in Iqama Case,A larger bench of the Islamabad High Court had announced the reserved verdict on the application of Usman Dar against Foreign Minister Khawaja Asif Asif is a fulltime employee of a UAEbased company and holds an Iqama,Real
9,Zardari Faryal Talpur removed from ECL,Supreme Court of Pakistan direct FIA to remove their names from Exit Control List after they denied charges angaist  multibillion money laundering scam,Real
10,Imran Khan criticised for defence of Pakistan blasphemy laws,ï¿½Imran Khanï¿½has been accused of risking bloodshed for electoral gainWe are standing with Article 295c and will defend it said the leader of the Pakistan TehreekeInsaf PTI at a gathering of Muslim leaders in Islamabad on Saturday referring to the clause of the constitution that mandates the death penalty for any imputation insinuation or innuendo against the prophet Muhammad,Real
11,What did I say that was wrong Nawaz responds to controversy around remarks on Mumbai attacks,Militant groups are active Should we allow nonstate actors to cross the border and kill 150 people in Mumbai? Please explain it to me Why cant we finish the trial? he said in the interview alluding to the Mumbai attacksrelated trial proceedings that have halted in Rawalpindis antiterrorism court,Real
12,SHEHBAZ ASSURES NISAR OF ADDRESSING RESERVATIONS,Nisar told Shahbaz that while he still is a member of the PMLN he does not know what the future holds Former interior minister has been at odds with Nawaz Sharif over the latters antijudiciary and antiestablishment tirade,Real
13,PIR SIALVI CALLS OFF ANTIGOVT PROTEST AFTER SHEHBAZ MEETS HIM,Pir Sialvi has been spearheading a campaign against Punjab Law Minister Rana Sanaullah for passing controversial remarks about the Ahmadi community Shehbaz Sharif said a committee has been constituted to resolve the issues and address the grievances,Real
14,Sialvi warns to shut Punjab if Sharia not imposed in seven days,Punjab Law Minister Rana Sanaullah should resign according to Pir Hameeduddin Sialvi,Real
15,SC SUMMONS HAMZA SHEHBAZ FOR EXTENDING THREATS TO AYESHA AHAD,Ayesha Ahad has filed a case against Hamza Shehbaz PMLN leader and others for torturing her Hamza has gone abroad and will be back in 34 days,Real
16,AHSAN IQBAL SHOT INJURED IN ASSASSINATION BID,The incident took place while he was leaving after attending a meeting at MPA Rana Manans residence in Kanjrur town of Narowal Ahsan Iqbal was also shot in the stomach by a local resident,Real
17,CHAUDHRY ABDUL GHAFOOR QUITS FROM PMLN CLAIMED PARTY TICKETS WERE SOLD,Mayo said he had a 28year association with the Sharifs but today a threetime prime minister Nawaz was trying to weaken the country by conspiring against the institutions He said he wanted to leave the party after the Model Town incident in which 14 workers of the Pakistan Awami Tehreek,Real
18,Disgruntled PMLN leader Zaeem Qadri to contest elections as independent candidate,Zaeem Qadri announced to contest general elections 2018 as an independent candidate The PMLN leader did not formally announce dissociation with the party but hinted towards surfacing of a range of differences with some party leaders,Real
19,115 SEATS AND COUNTING PTI ON THE TOP WITH INCREASING VOTE TALLY,The Pakistan TehreekeInsaf PTI has begged 115 seats in the National Assembly The formerly governing Pakistan Muslim League Nawaz PMLN is trailing behind it with 63 seats The independents managed to get 11 seats in NA while MMA and MQMP grabbed 11,Real
20,Widow Of Pakistani Politician Killed In Taliban Attack Wins His Seat,The wife of a Pakistani politician killed in a suicide attack has won a provincial assembly seat in byelections The ruling Pakistan TehreekeInsaf PTI won four out of five parliamentary seats,Real
21,PSP leader Fauzia Kasuri quits politics,Fauzia Kasuri has announced her political career is over She wants to help out with charity,Real
22,NAB to file appeal against Nawazs acquittal in Flagship reference,The decision was taken at a highlevel meeting of the National Accountability Bureau at its headquarters this evening The meeting was attended by senior law experts concerned the NAB directors general and other top officers,Real
23,Torture on journalist Nawazs guards sent to jail on judicial remand,Two of the former PM Nawaz Sharifs security guards were shifted to jail on judicial remand for attacking a TV cameraman on duty on Monday,Real
24,FPCCI felicitates Imran Khan on his victory in elections,Syed Mazhar Ali Nasir Sr Vice President and Chairman Budget Advisory Council of the Federation of Pakistan Chambers of Commerce and Industry FPCCI congratulates Pakistan TehreekeInsaf on its victory in the General Election 2018,Real
25,Malala Imran Khan featured in Worlds most admired people in 2018 list,Malala Yousufzai and cricketerturnedpolitician Imran Khan are among the worlds most admired people,Real
26,Anger ensues as cameraman assaulted by security guards in Nawaz Sharifs protocol,Cameraman Syed Wajid Ali of Samaa TV was kicked by security guards from Nawaz Sharifs protocol The incident took place as Sharif was departing after chairing a meeting of senior PMLN leaders,Real
27,Modi phones Imran Khan says ready to enter new era of ties with Pakistan PTI,Indian Prime Minister Narendra Modi congratulated Pakistans Imran Khan on his partys victory in the general election,Real
28,How political parties manipulate cyberspace for electioneering,Maryam Nawaz the daughter of former Pakistani Prime Minister Nawaz Sharif has more than a million followers on Twitter In the runup to the 2013 general election over 93000 people were following her on Twitter as a primary source of information related to her father,Real
29,Pakpattan Shrine Land Case Nawaz decides to appear before SC on Tuesday,Nawaz Sharif will appear before the Supreme Court on Tuesday He will present his stance in the case pertaining to Pakpattan shrines land transfer,Real
30,Nawaz Sharif responds back hard over treason allegations,Nawaz Sharif and Shahid Khaqan Abbasi refuted treason allegations against them as unimaginable and baseless in their replies submitted to the Lahore High Court Nawaz stated that serious allegations as treason is unimaginable,Real
31,FATA KP Merger and the dirty politics of Pakistan,Pashtunkhwa Milli Awami Party PkMAP chief Mahmood Achakzai and Jamiat UlemaeIslam JUI leader FazalurRehman opposed merging FATA with KPK Pakistan Muslim League Nawazs Central Executive Committee will decide on the issue,Real
32,Waqar Younis hits back against Najam Sethi alleges him of dirty politics,Former Pakistani cricket captain Waqar Younis has attacked exCricket Board chief Najam Sethi,Real
33,PMLN received more votes than expectation in byelection Nawaz,Nawaz Sharif said that the people voted for the PMLN in byelections He said this happened for the first time in the countrys political history despite the fact that he had been behind bars while his younger brother Shehbaz Sharif is still in NAB custody,Real
34,Nawaz Sharif not allowed to cast his vote in NA124,Former PM Nawaz Sharif could not cast his vote in byelections as he did not carry his National Identity Card NIC Nawaz was not allowed to cast vote as he failed to produce hisCNIC,Real
35,Nawaz faced what happened with Sirajud Daulah Aitzaz Ahsan,Shehbaz Sharif had done with Nawaz what Mir Jaffar did with Nawab Sirajud Daulah in the Battle of Plassey in 1757,Real
36,Maryam Nawazs son Junaid Safdar to join active politics,Junaid Safdar grandson of Nawaz Sharif and son of Maryam Nawaz and Captain Safdar is entering politics,Real
37,Marvi Rashdi familys first female graduate becomes MPA,There are record number of female politicians bagging seats in the National and Provincial Assemblies in elections Syeda Marvi Rashdi is her familys first female graduate Shehla Raza who was the first female deputy speaker of the Sindh Assembly is from PPP Marvi will be elected to the provincial assembly seat today,Real
38,Zardari should better start counting his last days in politics Fawad,Former president Asif Zardari should start counting his last days in politics instead of focusing on the PTI governments initial days,Real
39,Pakistan on FATFs grey list what why and why now?,Pakistan has been on the grey list of the Parisbased Financial Action Task Force FATF since June 2018 for failing to check money laundering leading to terror financing and was given a plan of action to complete it by October 2019,Real
40,I carried burden of Nawaz Sharif for 34 years Nisar,Chaudhry Nisar has distanced himself from PMLN leader Nawaz Sharif and his family,Real
41,Not Angry With Nawaz Sharif Only Differed From Him Chaudhry Nisar Ali Khan,Former interior minister Chaudhry Nisar Ali Khan says he was not angry and had only differed from Nawaz Sharif He said that he was speaking about Nawaz for the former premier had the responsibility being head of the party,Real
42,5 Empty Ballots Found In Pakistan As VoteRigging Claims Gather Steam,The Election Commission of Pakistan has rejected the blatant rigging allegations levelled by PMLN and other parties,Real
43,Pakistan Parties Announce Protest Demanding New Elections,A group of Pakistani political parties announce protests demanding new elections following allegations of rigging in this weeks nationwide polls that were won by cricket hero Imran Khans party The pivotal election has been branded Pakistans dirtiest after widespread claims that the powerful military was trying to fix the playing field in Khans favour,Real
44,Ali Pervaiz replaces Maryam as NA127 candidate,PMLN president Shehbaz Sharif has awarded tickets to the new candidates for NA127 and PP173 Maryam Nawaz was contesting the election from both the seats Mohammad Sajjad will contest election in NA14 Mansehra in his place,Real
45,No witness claimed Hussain was financially supported by Nawaz Wajid,Joint investigation team JIT head Wajid Zia said no witness claimed that Hussain Nawaz was financially supported by Nawaz during his time abroad The crossexamination of Panamagate JIT head has been adjourned till Monday,Real
46,Avenfield reference Nawaz is not owner of London flats says Amjad,Amjad Pervez counsel of Maryam Nawaz says Nawaz neither owns London flats nor occupied them He says Sharif family may be associated with property at some limit but Nawaz was never linked with the London flats Nawaz and his family are facing three corruption cases in the accountability court,Real
47,Never claimed ownership of London flats Maryam,Maryam Nawaz never claimed real or beneficial ownership of the London flats,Real
48,Nawaz Sharif removed as PMLN head after SC rules disqualified person cannot lead a party,Nawaz Sharifs reelection as PMLN president is invalid the Supreme Court has ruled The Election Commission of Pakistan ECP removed Sharifs name from the election record,Real
49,Nawaz speaks as if he has never held elected office Mustafa Kamal,Pak Sarzameen Party chairman Mustafa Kamal has criticised Nawaz Sharif for not respecting the sanctity of the vote,Real
50,Tahirul Qadri welcomes SC verdict of disqualifying Nawaz for life,The PAT Chairman Dr Muhammad TahirulQadri has welcomed the Supreme Courts ruling that disqualification under Article 62 1 f will be for life,Real
51,PUNJAB GOVERNMENT ALLOWS CELEBRATING BASANT FESTIVAL,Basant festival will be celebrated in Lahore in the second week of February Basant committee will present its recommendations within a week In 2005 the Supreme Court had banned the festival in Punjab,Real
52,SINDH GOVERNMENT TO RECRUIT FOOD SECURITY OFFICERS IN SFA,The Sindh government has decided to recruit Assistant Food Security Officers in the regulatory body,Real
53,Sindh government to set up its own grid company for wind energy projects,The Sindh government has announced to set up its own grid company under publicprivate partnership approach,Real
54,Punjab government to nip nepotism corruption in the bud Buzdar,Punjab Chief Minister Shehbaz Sharif has ordered the concerned departments to act in a professional manner,Real
55,Awn Chaudhry poised to get important role in Punjab government,The PM wants party leaders from North and Central Punjab to form a cabinet Awn Chaudhry is set to get an important role in the provincial setup Aleem Khan Yasmeen Rashid Raja Yasir Humayun Mian Aslam Sardar Arif Sibtain Khan and Mohsin Laghari are being considered for important ministries,Real
56,Pir Sialvi says no deal behind agreement with Punjab government,Pir Sialvi has accused the Punjab government and parliamentarians of selling their selfesteem and respect for seats,Real
57,Didnt Choose This Life Bilawal Bhutto Campaigns To Be Pakistan PM,Bilawal Bhutto Zardari wants to become Pakistans prime minister,Real
58,Ayaz Sadiq terms Shireen Mazari as unguided missile,Ayaz Sadiq declared Pakistan TehreekeInsaf leader Shireen Mazari as unguided missile Earlier PTI leaders Asad Qaiser and Qasim Suri were elected as speaker and deputy speaker of the National Assembly,Real
59,Ayaz Sadiq accuses RO of prepoll rigging in NA129,Ayaz Sadiq is contesting on a ticket of the PMLN against Aleem Khan from NA129 in Lahore Ayaz claims that returning officer Ghulam Murtaza Uppal is supporting his political opponent,Real
60,NA speaker Ayaz Sadiq stages walkout of House in protest,The Speaker of the National Assembly walked out of the house in protest,Real
61,Usman Dar submits money laundering proofs about Khawaja Asif in NAB,Prime Ministers Special Aide on Youth Affairs Usman Dar handed over the proofs regarding money laundering about Khawaja Asif to the National Accountability Bureau NAB Dar also handed over a confidential agreement regarding Asifs employment in a foreign company while being federal minister to NAB authorities,Real
62,Khawaja Asif lambasts governments foreign policy,The PMLN leader and former foreign minister Khawaja Muhammad Asif has criticised the Pakistan TehreekeInsaf PTI governments foreign policy,Real
63,Khawaja Asif remembers foreign policy after joining opposition Mazari,Minister for Human Rights Dr Shireen Mazari has criticized the Pakistan Muslim LeagueN PMLN never discussed foreign policy matters at the floor She said that the previous government never gave the importance to foreign policy Pakistan is still facing the side effects of the compromises made by previous government,Real
